사용자,평점,댓글 내용,감정
한상유,3,"2022.5.27
(혼자)
황정민이 황정민 역할로 나오는 건 신선하다.",긍정
김태진,1.5,15,부정
재진군,2,"설정은 좋았는데, 연기도 좋았는데, 각본과 연출이 개판",부정
Hong S. Lee,2,황정민이 황정민 역을 맡아 황정민을 연기하지만 그 뿐,부정
황보기훈,3.5,숨쉴틈 없이 치열하다,긍정
😶‍🌫️,1,"밑도 끝도 없이 잔인해서 싫다
스릴있지도 않음..",부정
훈재,3,후하게 3점 드립니다.,긍정
악어,2,"초반의 현실감, 후반에는 너무 뻔~해요",부정
이수영,3,"개연성보단 스릴
초반부 스릴 좋았ㅈ만 후반부로 갈 수록 개연성은 떨어지고 황정민 “배우” 역할이 보이지 않아 아쉬웠다",긍정
신성욱,2.5,익숙한 장면들의 조합 그러나 그럭저럭 버무렸다,중립
한지수,2.5,너무 잔인...,중립
황혜선,3,황정민 배우님 ㅠ 조심하세여,긍정
kjh21,2.5,"배우 황정민이라는 설정을 돈 많은 재벌로 바꿔도 큰 문제가 없어보인다.
그정도로 배우 황정민이 납치됐음에도 영화는 큰 특색없이 뻔하게 진행된다.",중립
사염,2.5,"곧게 나가다가 흔들리는 캐릭터들, 또 핸드헬드의 미친 흔들림과 어지러운 나.",중립
Pied piper,4,욕이 너무 많이 나와... 넘 무서워,긍정
태준,2.5,"이런 범죄 스릴러 영화를 좋아하고 영화 평가에 후한 편인데 초반 빼고 정말 아쉬웠다.
경찰 배우분들 연기같은 부분뿐만 아니라
개연성도 조금 부족하다고 느껴졌고
전체적으로 중후반이 답답했다.",중립
박지나,1,난 트레일러에 속았다,부정
헤주주,1,진짜 싫은 요소가 너무 많은데.... 일단 이런 재밌는 소재를 가지고 황정민에 초점을 맞추는게 아니라 범죄자들에게 너무 많은 비중을 쏟아서 망함,부정
Ji_woneez,3,그냥 황정민이 황정민한 영화.,긍정
bronine,3,한물 간 설정들을 뜻밖의 연출로 살려내다.,긍정
성규동,3,무난한 인질극이 아니었던 괜찮은 시도.,긍정
해달 sMinis,2.5,실제 배우 팔아서 만드는 영화라면 이보다는 좀더 성의있게 만들어야하지 않나 싶다,중립
성훈,3,"예상외로 진지한 범죄영화.
사실 이야기 자체는 평범하나 배우가 본인을 연기하면서 신선함을 느끼고 더 집중할 수 있게 한다.",긍정
숙구,3,설정은 좋은데 악역이 너무 안 무서움.,긍정
워뉸재,3,신선...은 한데... 흠..,긍정
제로니모!,3.5,"내용을 들었을 땐 기대가 안됐지만
역시 빌런이 장르를 훌륭하게 만들어줌.",긍정
이정재,2.5,클리셰를 인질로 잡은 스릴러 5,중립
차지훈,1,한 줄짜리 시놉시스가 영화의 유일한 재미.,부정
김대현,4,형식 자체가 인상적,긍정
Finnegan,0.5,연기가 문제냐 연출이 문제냐,부정
마왕,1,"인질범들이 소리만 지르고 눈에 힘만 줄 뿐
무능력하고 허술하니 몰입이 되지 않는다",부정
북극하이에나,3,"실제배우가 납치된 신선한소재. 이런일이 발생할수도 있겠다는 생각이든다. 볼만한영화.
-22.3.6.-",긍정
혜 성,2.5,클리셰 덩어리,중립
채리,3.5,소재도 신박하고 배우들 연기 감탄하면서 봄ㅠㅠ 연예인들이 경호원 데리고 다니는 거 납득 오나료,긍정
나츠,3.5,"설정 자체가 신선했고 다들 연기 너무 잘하고... 형사 이름 말할 때 대박임; 글고 이유미 연기 너무 잘해...
근데 연예인들 개피곤하겠다 진짜 ㅠ",긍정
천성식,3,칭찬할 만한 영화. 대니 보일 내지는 가이 리치 느낌도 나는 실험적인 작품. 아쉬운 부분보다 칭찬할 부분이 많다. 김재범이 상당히 인상적이었으며 이호정은 나중에서야 알았다.,긍정
김준혁,2.5,시작만 다를 뿐 전개와 결말을 포함해 작은 부분들까지 모든 부분이 익숙하다.,중립
민 주,3,탑스타 납치사건이라는 흔한소재를 긴장감 있게 잘,긍정
신우재,2.5,"번뜩이는 리얼리티가 돋보일 뻔 했으나, 강한 동력과 에너지를 다소 벗어난 방향으로 방출한다.",중립
왕도균,2.5,딱 킬링타임용 끗,중립
네모로 배우는 세상,2.5,이젠 대한민국 경찰의 활약상 좀 보고 싶다.,중립
l00K,3.5,황정민이 황정민했다. (말 그대롭니다),긍정
이용자,0.5,"형사 외엔 여캐 활용 최악
이럴 줄 알았다",부정
bbo,3.5,황정민을 위한.,긍정
김연석,3,가상과 현실의 경계가 끝까지 모호했더라면,긍정
탄호빵,3,황정민이 납치를 당했다. 영화속 인물로써가 아닌 배우 박정민으로. 이러한 설정이 초반 몰입을 좀더 도와주고 개연성을 부여해준다. 그리고 캐릭터들의 연기에 모든 것을 쏟아낸 영화.,긍정
b22n,2.5,미묘하게 자꾸 엉성하다,중립
상록,3.5,연기자 황정민의투혼에 감탄했어요,긍정
심슨,3,황정민배우가 본인을 연기한다는 설정이 생각보다 작품 상에서 별로 사용되지 않는 느낌이고 악역에게는 ‘왜’라는 질문이 너무 많이 생략되어 있고 그리고 결정적으로 영화의 모든 상황이 과연 인질극이 맞나 싶다.,긍정
김승재,1,감독이 인질로 잡혔나. 이런영화를 만드네,부정
YS,1.5,좀 너무 쓸데없이 자극적이지 않았나,부정
byulbyulbam,1,"<차인표>(김동규, 2021)는 그의 진지함 뒤의 이면을 저렴함으로 착각하여 촌극을 만들었다. 반면, 황정민이 황정민을 연기한 <인질>은 영화와 현실의 접점을 만든다. 황정민의 영화들은 <인질>의 황정민을 만드는 주요 요소로 작동한다. 황정민의 행동과 대사에 주목하게 하는 제한된 공간 설정은 효과적이다. <차인표>는 이 부분에서 저렴함을 언급했다면, <인질>은 기존 황정민을 재사용한다. 기존 대사와 캐릭터들은 현실과 영화의 이질감을 최소화하기 위해 적극적으로 사용된다. 분명, 이는 장점으로 관객의 몰입감을 이끌어낸다. 그러나 이 영화가 황정민을 재해석했는지에 대해서는 의문이다. <인질>에서 황정민은 황정민으로 존재할 뿐, 그 이상도 그 이하도 아니다.

(2022.01.01.)",부정
깐깐징어,3.5,"아이디어 좋고
스토리에도 잘 녹였다.",긍정
Jeesue Choi,0.5,"있을 건 다 있는데.. 없었으면 하는 것도 너무 많다.

설득력 없는 멍청한 악당 패밀리.
멤버 구성도 너무 뻔하고 여자 악당은 섹스신 찍고 가슴 까고 죽이는걸로 소모해버리는 클리셰. 배우가 아깝다ㅎ 연기하면서 현타 왔을 듯.
느닷없이 튀어나오는 취업난 현실 고증(?)도 뜬금 없다.

진짜 이런 거 이제 그만 만들어 제발... 2021년 영화 맞냐고",부정
Seungeun👼,3.5,딱 킬링타임용!,긍정
안성현,3,"<세이빙 미스터 우>라는 영화를 원작으로 하는 리메이크 영화.

'이 역할에 어울리는 배우가 얼마나 될까?'라는 질문에 쉽게 답하기 어려울 정도로, 대중성이나 친숙도 측면에서 황정민이 지니는 의미를 다시 한번 생각하게 된다(그 외에는 하정우 정도?).

설정이 독특해서 초반부 몰입감이 괜찮았고, 리얼리티 측면에서도 어느 정도 설득력이 있었다. 잘 알려지지 않은 배우들을 보는 재미도 있었다(다만, 황정민의 연기와 다른 배우들의 연기 사이의 괴리감은 있었다).

아쉬웠던 점은 후반부로 가면서 지루함이 느껴졌고, 잘 짜여진 영화를 볼 때 느끼는 쾌감 같은 것은 없었다. 하드보일드 스타일로 인해 킬링타임용으로도 살짝 부담스러웠다.",긍정
SOWON,2.5,"황정민이 황정민 했다. 비슷한 캐릭터가 몇 년째 이어지니 흐름이 예상 가는 건 당연지사.
소재의 참신함에 <폰 부스>를 기대하며 봤으나 중반에 접어들며 흔한 한국 깡검형 영화의 추격전으로 이어진다.
극을 끌어가는 힘과 몰입도가 좋아 킬링 타임 용으로는 만족스럽다.",중립
고담시귀요미(설원),0.5,"진짜 황정민과 카페알바생의 연기에 별 준다..
악당들이 너무 멍청하다
진짜 에라이..스릴이 아니라 답답함만이 느껴졌다
이 영화는 정확히 배우 황정민의 피랍사건인 페이크다큐스타일의 접근방식인 점 빼고는 1000% 진부하다..
영차영차 발전해나가는 한국영화계 바짓가랑이를 붙잡고 망작구렁텅이로 끌어내리는 물귀신같은 영화. 이게 의도였다면 성공이고.
낡고 구리다..",부정
밸밸,2,그럭저럭 크리스마스영화였다,부정
Nana,2.5,좋은주제라도 익숙함을 넘어서는 건 어려운 것 같다.,중립
Vongvong,3,신선한 얼굴들 보는 재미가 있음,긍정
이지현,4,"특이한 소재는 아니지만, 짧고 알찼다
- 211218 N DD",긍정
이성민,1.5,아무리 별로인 영화를 봐도 '이런 건 나도 쓰겠다'는 생각은 거의 해 본 적이 없다. 작가 개개인의 개성이 다르고 그것이 좋든 나쁘든 결국 완전히 따라하는 건 불가능하니까. 이 영화는 예외였다.,부정
YNWA,3,군더더기 없이 깔끔하네....막판에 스케일을 억지로 키우려는 것만 빼고는....,긍정
이준희,3.5,클리쎄라도 쫄깃,긍정
나래🎈,3,익숙한 전개이긴 하지만 보는 내내 몰입도가 떨어지는 건 없었음,긍정
왓챠말고와쳐,3.5,"일단 진득하게 치고받고 싸우는 장면도 볼만했고, 유명인이 인질로 잡혀야 하는 상황이라 배우를 배우 역할로 하는 스토리도 볼만했고, 그리고... 볼만했고...",긍정
kimsung__,2,아이디어의 본전도 회수 못 한 공중에 떠버린 졸작.,부정
왕자님 여자친구,3,뻔하지만 재미있는,긍정
릴오벨,3,뭔가 진짜 있었던 사건같네!,긍정
투팍,2.5,"연극이면 더 잼날,,",중립
최혜린,3,스포일러가 포함되어 내용을 생략했습니다.,긍정
NICOLE,2,"컨셉은 좋다. 컨셉만 좋다. 아무 동기도 설득력도 없이 때려뿌시고 괴롭히는 거 이제 그만...
(211212)",부정
혀니,2,황정민이어야 할 이유가 하등없다.,부정
강원,2.5,스포일러가 포함되어 내용을 생략했습니다.,중립
성인,2.5,납치범들이 스스로 무너지는 것이 실망스러웠다.,중립
훈짱,0.5,그냥. 킬링타임용 영화.,부정
과자,0.5,퉷,부정
리키,3,생각보다 강하네,긍정
창인,3,신선했지만 진부했다.,긍정
ChangHeePark,1.5,신선한 설정과 시원한 카메라워크. 그러나 불멸의 최기현으로 인해 몰입이 안된다.,부정
노감자,3,서도철이 아닌 리얼 황정민을 데리고 오시길,긍정
Yong Kim,3,할 말만 하고 빠질 줄 아는 영화도 필요하다. 후배들에게 제대로 판을 깔아주는 선배는 더더욱 귀하다.,긍정
ㄷㅋㅎㅇㅅ,2.5,언리얼,중립
항그,2,"신선은 했다만..
퀄리티가 졸업작품~저예산 독립영화 늑김...
2021.12.4 남친",부정
Sunwoo  Park,3,"황정민 연기에 한동안 질렸었다.
이번 영화에서 빛나는 순간이 두군데 정도 있었는데
이 장면은 그가 아니면 절대 영화를 살릴 수 없었을 것이다.",긍정
오몽🍊,3,잠깐 재생 눌렀다가 몰입력 무엇..,긍정
슈슈,0.5,"이거보고 더욱더 우리나라 경찰이 총을 써야한다는 생각이 굳게 자리잡음
답답해 뒤질뻔 했네
예전에 악역 연기하면 길에서 욕 많이 먹는다는 인터뷰 봤는데 왜 그런지 알거같음 범죄자 연기한분들보면 패고 싶을 듯",부정
김승언,3.5,"배우 본인을 영화에서 연기하는 작품이라면 대부분 그 배우의 인간군상이 나오길 기대하고 보는 나로선
영웅 황정민이 나오는 장면을 보면서 굳이 황정민 본인을 연기할 필요가 있엇나 싶다
그에반해 영화적 긴장감은 제법이다",긍정
natural_alice,2,"어리숙한 납치범 캐릭터들의 향연.
뻔한 구성과 놀랍지 않은 결말",부정
MJ,4.5,이유미! 그리고 최기완 역의 김재범 배우 대단하다.,긍정
혜굥,2.5,다 보고 나면 입에서 피맛 나는 거 같아요,중립
현팍,2,♡,부정
박재홍,2.5,후반부가 조금만 더 똑똑했다면,중립
0점사격,2.5,"설정만 좋고, 지겹다",중립
토라진,3,인질범들 나보다 착한 거 같애,긍정
랑호,2,황정민 역만 신선,부정
사공공이,3.5,"황정민이 황정민을 연기한다.
리얼리티가 좀 더 살아있었으면 좋았을텐데 뻔한 설정과 진부한 캐릭터에서 가짜티가 나 몰입을 방해한다.",긍정
준소쿠,3.5,"폰부스처럼 시원시원한 전개
와일드카드3인방을 능가하는 미친3인방도 좋다",긍정
JoonSuhGiulioPark,3.5,다른 건 몰라도 황정민의 연기와 캐스팅은 인정,긍정
No.1 Jun K,3,황정민이 황정민했다,긍정
쭈니,3.5,"황정민씨
트라우마 극복 할 수 있을거예요!!
복귀 화이팅!!",긍정
유태,2.5,기완이 페이스만큼 연기를 잘했으면 좋았을텐데,중립
김홍서,2.5,아이디어는 좋으나 그것을 실현시키는 에너지의 부재,중립
대낮에도꿈을꿀수있기에영화를본다.,2.5,"그런데 주인공이 마동석이었다면…
넷플릭스",중립
민주,2,리얼함을 무기로 하고 영화에선 잘 쓰질 못하네,부정
박현우,1.5,생각없는 악행은 같잖아 보일 뿐,부정
마당발,3,"지루했던
무의미했던
마지막 결투씬",긍정
허준호,2,중반부 도망칠 때 잘 갖고 있던 총이 아무 이유없이 납치범들에게 넘어갔을 때부터 집중력이 떨어졌다. 그 이후 어설픈 설정들은 말할 것도 없고. 좋은 영화는 디테일이 강해야 한다.,부정
JiYongPark,1,"긴장감 한 스푼, 어거지 한 스푼 반...사회의 범죄상을 녹여내려 한거 같았지만 잘 녹아들지 못한 시간채우기 느낌의 내용.",부정
